English,Japanese,ChineseSimplified,ChineseTraditional,Turkish,Korean,French,Spanish,German,Thai,Arabic,Czech,Danish,Dutch,Esperanto,Finnish,Hindi,Hungarian,Italian,Klingon,Norwegian,Persian,Polish,Portuguese,Russian,Swedish
god damn,糞,打炮,打炮,,,,,,,,,,sufferdg,,,,,sveltina,,,,,,,
gokkun,糞尿愛好症,打飞机,打飛機,,,,,,,,,,tapijtnek,,,,,sverginare,,,,,,,
golden shower,糞便,抽插,抽插,,,,,,,,,,teefg,,,,,tarzanello,,,,,,,
goodpoop,平手打ち,招妓,招妓,,,,,,,,,,temeier,,,,,terrone,,,,,,,
goo girl,変態,插你,插你,,,,,,,,,,teringlijer,,,,,testa di cazzo,,,,,,,
goregasm,勃起する,插死你,插死你,,,,,,,,,,toeter,,,,,tette,,,,,,,
grope,夢精,撒尿,撒尿,,,,,,,,,,tongzoeng,,,,,tirare,,,,,,,
group sex,毛深い,操你,操你,,,,,,,,,,triootjeg,,,,,topa,,,,,,,
g-spot,誘惑,操你全家,操你全家,,,,,,,,,,trottoir prostituée,,,,,troia,,,,,,,
guro,幼児,操你奶奶,操你奶奶,,,,,,,,,,trottoirteef,,,,,trombare,,,,,,,
hand job,幼児性愛者,操你妈,操你媽,,,,,,,,,,vergallen,,,,,uccello,,,,,,,
handjob,裸,操你娘,操你娘,,,,,,,,,,verkloten,,,,,vacca,,,,,,,
hard core,裸の女性,操你祖宗,操你祖宗,,,,,,,,,,verneuken,,,,,vaffanculo,,,,,,,
hardcore,乱交,操你老妈,操你老媽,,,,,,,,,,viespeuk,,,,,vangare,,,,,,,
hentai,両性,操你老母,操你老母,,,,,,,,,,vingeren,,,,,venire,,,,,,,
homoerotic,両性具有,操妳,操妳,,,,,,,,,,vleesroos,,,,,zinne,,,,,,,
honkey,両刀,操妳全家,操妳全家,,,,,,,,,,voor jan lul,,,,,zio cantante,,,,,,,
hooker,輪姦,操妳妈,操妳媽,,,,,,,,,,voor jan-met-de-korte-achternaam,,,,,zoccola,,,,,,,
hot carl,卍,操妳娘,操妳娘,,,,,,,,,,watje,,,,,,,,,,,,
hot chick,宦官,操妳祖宗,操妳祖宗,,,,,,,,,,welzijnsmafia,,,,,,,,,,,,
how to kill,肛門,操机掰,操機掰,,,,,,,,,,wijf,,,,,,,,,,,,
how to murder,膣,操比,操比,,,,,,,,,,wippen,,,,,,,,,,,,
huge fat,,操逼,操逼,,,,,,,,,,wuftje,,,,,,,,,,,,
humping,,放荡,放蕩,,,,,,,,,,zaadje,,,,,,,,,,,,
incest,,日他娘,日他娘,,,,,,,,,,zakkenwasser,,,,,,,,,,,,
intercourse,,日你,日你,,,,,,,,,,zeiken,,,,,,,,,,,,
jack off,,日你妈,日你媽,,,,,,,,,,zeiker,,,,,,,,,,,,
jail bait,,日你老娘,日你老娘,,,,,,,,,,zuigen,,,,,,,,,,,,
jailbait,,日你老母,日你老母,,,,,,,,,,zuiplap,,,,,,,,,,,,
jelly donut,,日批,日批,,,,,,,,,,,,,,,,,,,,,,
jerk off,,月经,月經,,,,,,,,,,,,,,,,,,,,,,
jigaboo,,机八,機八,,,,,,,,,,,,,,,,,,,,,,
jiggaboo,,机巴,機巴,,,,,,,,,,,,,,,,,,,,,,
jiggerboo,,机机歪歪,機機歪歪,,,,,,,,,,,,,,,,,,,,,,
jizz,,杂种,雜種,,,,,,,,,,,,,,,,,,,,,,
juggs,,浪叫,浪叫,,,,,,,,,,,,,,,,,,,,,,
kike,,淫,淫,,,,,,,,,,,,,,,,,,,,,,
kinbaku,,淫乱,淫亂,,,,,,,,,,,,,,,,,,,,,,
kinkster,,淫妇,淫婦,,,,,,,,,,,,,,,,,,,,,,
kinky,,淫棍,淫棍,,,,,,,,,,,,,,,,,,,,,,
knobbing,,淫水,淫水,,,,,,,,,,,,,,,,,,,,,,
leather restraint,,淫秽,淫穢,,,,,,,,,,,,,,,,,,,,,,
leather straight jacket,,淫荡,淫蕩,,,,,,,,,,,,,,,,,,,,,,
lemon party,,淫西,淫西,,,,,,,,,,,,,,,,,,,,,,
lolita,,湿透的内裤,濕透的內褲,,,,,,,,,,,,,,,,,,,,,,
lovemaking,,激情,激情,,,,,,,,,,,,,,,,,,,,,,
make me come,,灨你娘,灨你娘,,,,,,,,,,,,,,,,,,,,,,
male squirting,,烂货,爛貨,,,,,,,,,,,,,,,,,,,,,,
masturbate,,烂逼,爛逼,,,,,,,,,,,,,,,,,,,,,,
menage a trois,,爛,爛,,,,,,,,,,,,,,,,,,,,,,
milf,,狗屁,狗屁,,,,,,,,,,,,,,,,,,,,,,
missionary position,,狗日,狗日,,,,,,,,,,,,,,,,,,,,,,
motherfucker,,狗狼养的,狗狼養的,,,,,,,,,,,,,,,,,,,,,,
mound of venus,,玉杵,玉杵,,,,,,,,,,,,,,,,,,,,,,
mr hands,,王八蛋,王八蛋,,,,,,,,,,,,,,,,,,,,,,
muff diver,,瓜娃子,瓜娃子,,,,,,,,,,,,,,,,,,,,,,
muffdiving,,瓜婆娘,瓜婆娘,,,,,,,,,,,,,,,,,,,,,,
nambla,,瓜批,瓜批,,,,,,,,,,,,,,,,,,,,,,
nawashi,,瘪三,癟三,,,,,,,,,,,,,,,,,,,,,,
negro,,白烂,白爛,,,,,,,,,,,,,,,,,,,,,,
neonazi,,白痴,白痴,,,,,,,,,,,,,,,,,,,,,,
nigga,,白癡,白癡,,,,,,,,,,,,,,,,,,,,,,
nigger,,祖宗,祖宗,,,,,,,,,,,,,,,,,,,,,,
nig nog,,私服,私服,,,,,,,,,,,,,,,,,,,,,,
nimphomania,,笨蛋,笨蛋,,,,,,,,,,,,,,,,,,,,,,
nipple,,精子,精子,,,,,,,,,,,,,,,,,,,,,,
nipples,,老二,老二,,,,,,,,,,,,,,,,,,,,,,
nsfw images,,老味,老味,,,,,,,,,,,,,,,,,,,,,,
nude,,老母,老母,,,,,,,,,,,,,,,,,,,,,,
nudity,,老瘪三,老癟三,,,,,,,,,,,,,,,,,,,,,,
nympho,,老骚比,老騷比,,,,,,,,,,,,,,,,,,,,,,
nymphomania,,老骚货,老騷貨,,,,,,,,,,,,,,,,,,,,,,
octopussy,,肉壁,肉壁,,,,,,,,,,,,,,,,,,,,,,
omorashi,,肉棍子,肉棍子,,,,,,,,,,,,,,,,,,,,,,
one cup two girls,,肉棒,肉棒,,,,,,,,,,,,,,,,,,,,,,
one guy one jar,,肉缝,肉縫,,,,,,,,,,,,,,,,,,,,,,
orgasm,,肏,肏,,,,,,,,,,,,,,,,,,,,,,
orgy,,肛交,肛交,,,,,,,,,,,,,,,,,,,,,,
paedophile,,肥西,肥西,,,,,,,,,,,,,,,,,,,,,,
paki,,色情,色情,,,,,,,,,,,,,,,,,,,,,,
panties,,花柳,花柳,,,,,,,,,,,,,,,,,,,,,,
panty,,荡妇,蕩婦,,,,,,,,,,,,,,,,,,,,,,
pedobear,,賤,賤,,,,,,,,,,,,,,,,,,,,,,
pedophile,,贝肉,貝肉,,,,,,,,,,,,,,,,,,,,,,
pegging,,贱B,賤B,,,,,,,,,,,,,,,,,,,,,,
penis,,贱人,賤人,,,,,,,,,,,,,,,,,,,,,,
phone sex,,贱货,賤貨,,,,,,,,,,,,,,,,,,,,,,
piece of shit,,贼你妈,賊你媽,,,,,,,,,,,,,,,,,,,,,,
pissing,,赛你老母,賽你老母,,,,,,,,,,,,,,,,,,,,,,
piss pig,,赛妳阿母,賽妳阿母,,,,,,,,,,,,,,,,,,,,,,
pisspig,,赣您娘,贛您娘,,,,,,,,,,,,,,,,,,,,,,
playboy,,轮奸,輪姦,,,,,,,,,,,,,,,,,,,,,,
pleasure chest,,迷药,迷藥,,,,,,,,,,,,,,,,,,,,,,
pole smoker,,逼,逼,,,,,,,,,,,,,,,,,,,,,,
ponyplay,,逼样,逼樣,,,,,,,,,,,,,,,,,,,,,,
poof,,野鸡,野雞,,,,,,,,,,,,,,,,,,,,,,
poon,,阳具,陽具,,,,,,,,,,,,,,,,,,,,,,
poontang,,阳萎,陽萎,,,,,,,,,,,,,,,,,,,,,,
punany,,阴唇,陰唇,,,,,,,,,,,,,,,,,,,,,,
poop chute,,阴户,陰戶,,,,,,,,,,,,,,,,,,,,,,
poopchute,,阴核,陰核,,,,,,,,,,,,,,,,,,,,,,
porn,,阴毛,陰毛,,,,,,,,,,,,,,,,,,,,,,
porno,,阴茎,陰莖,,,,,,,,,,,,,,,,,,,,,,
pornography,,阴道,陰道,,,,,,,,,,,,,,,,,,,,,,
prince albert piercing,,阴部,陰部,,,,,,,,,,,,,,,,,,,,,,
pthc,,雞巴,雞巴,,,,,,,,,,,,,,,,,,,,,,
pubes,,靠北,靠北,,,,,,,,,,,,,,,,,,,,,,
pussy,,靠母,靠母,,,,,,,,,,,,,,,,,,,,,,
queaf,,靠爸,靠爸,,,,,,,,,,,,,,,,,,,,,,
queef,,靠背,靠背,,,,,,,,,,,,,,,,,,,,,,
quim,,靠腰,靠腰,,,,,,,,,,,,,,,,,,,,,,
raghead,,驶你公,駛你公,,,,,,,,,,,,,,,,,,,,,,
raging boner,,驶你娘,駛你娘,,,,,,,,,,,,,,,,,,,,,,
rape,,驶你母,駛你母,,,,,,,,,,,,,,,,,,,,,,
raping,,驶你爸,駛你爸,,,,,,,,,,,,,,,,,,,,,,
rapist,,驶你老师,駛你老師,,,,,,,,,,,,,,,,,,,,,,
rectum,,驶你老母,駛你老母,,,,,,,,,,,,,,,,,,,,,,
reverse cowgirl,,骚比,騷比,,,,,,,,,,,,,,,,,,,,,,
rimjob,,骚货,騷貨,,,,,,,,,,,,,,,,,,,,,,
rimming,,骚逼,騷逼,,,,,,,,,,,,,,,,,,,,,,
rosy palm,,鬼公,鬼公,,,,,,,,,,,,,,,,,,,,,,
rosy palm and her 5 sisters,,鸡8,雞8,,,,,,,,,,,,,,,,,,,,,,
rusty trombone,,鸡八,雞八,,,,,,,,,,,,,,,,,,,,,,
sadism,,鸡叭,雞叭,,,,,,,,,,,,,,,,,,,,,,
santorum,,鸡吧,雞吧,,,,,,,,,,,,,,,,,,,,,,
scat,,鸡奸,雞姦,,,,,,,,,,,,,,,,,,,,,,
schlong,,鸡巴,雞巴,,,,,,,,,,,,,,,,,,,,,,
scissoring,,鸡芭,雞芭,,,,,,,,,,,,,,,,,,,,,,
semen,,鸡鸡,雞雞,,,,,,,,,,,,,,,,,,,,,,
sex,,龟儿子,龜兒子,,,,,,,,,,,,,,,,,,,,,,
sexo,,龟头,龜頭,,,,,,,,,,,,,,,,,,,,,,
sexy,,,,,,,,,,,,,,,,,,,,,,,,,
shaved beaver,,,,,,,,,,,,,,,,,,,,,,,,,
shaved pussy,,,,,,,,,,,,,,,,,,,,,,,,,
shemale,,,,,,,,,,,,,,,,,,,,,,,,,
shibari,,,,,,,,,,,,,,,,,,,,,,,,,
shit,,,,,,,,,,,,,,,,,,,,,,,,,
shitblimp,,,,,,,,,,,,,,,,,,,,,,,,,
shitty,,,,,,,,,,,,,,,,,,,,,,,,,
shota,,,,,,,,,,,,,,,,,,,,,,,,,
shrimping,,,,,,,,,,,,,,,,,,,,,,,,,
skeet,,,,,,,,,,,,,,,,,,,,,,,,,
slanteye,,,,,,,,,,,,,,,,,,,,,,,,,
slut,,,,,,,,,,,,,,,,,,,,,,,,,
s&m,,,,,,,,,,,,,,,,,,,,,,,,,
smut,,,,,,,,,,,,,,,,,,,,,,,,,
snatch,,,,,,,,,,,,,,,,,,,,,,,,,
snowballing,,,,,,,,,,,,,,,,,,,,,,,,,
sodomize,,,,,,,,,,,,,,,,,,,,,,,,,
sodomy,,,,,,,,,,,,,,,,,,,,,,,,,
spic,,,,,,,,,,,,,,,,,,,,,,,,,
splooge,,,,,,,,,,,,,,,,,,,,,,,,,
splooge moose,,,,,,,,,,,,,,,,,,,,,,,,,
spooge,,,,,,,,,,,,,,,,,,,,,,,,,
spread legs,,,,,,,,,,,,,,,,,,,,,,,,,
spunk,,,,,,,,,,,,,,,,,,,,,,,,,
strap on,,,,,,,,,,,,,,,,,,,,,,,,,
strapon,,,,,,,,,,,,,,,,,,,,,,,,,
strappado,,,,,,,,,,,,,,,,,,,,,,,,,
strip club,,,,,,,,,,,,,,,,,,,,,,,,,
style doggy,,,,,,,,,,,,,,,,,,,,,,,,,
suck,,,,,,,,,,,,,,,,,,,,,,,,,
sucks,,,,,,,,,,,,,,,,,,,,,,,,,
suicide girls,,,,,,,,,,,,,,,,,,,,,,,,,
sultry women,,,,,,,,,,,,,,,,,,,,,,,,,
swastika,,,,,,,,,,,,,,,,,,,,,,,,,
swinger,,,,,,,,,,,,,,,,,,,,,,,,,
tainted love,,,,,,,,,,,,,,,,,,,,,,,,,
taste my,,,,,,,,,,,,,,,,,,,,,,,,,
tea bagging,,,,,,,,,,,,,,,,,,,,,,,,,
threesome,,,,,,,,,,,,,,,,,,,,,,,,,
throating,,,,,,,,,,,,,,,,,,,,,,,,,
tied up,,,,,,,,,,,,,,,,,,,,,,,,,
tight white,,,,,,,,,,,,,,,,,,,,,,,,,
tit,,,,,,,,,,,,,,,,,,,,,,,,,
tits,,,,,,,,,,,,,,,,,,,,,,,,,
titties,,,,,,,,,,,,,,,,,,,,,,,,,
titty,,,,,,,,,,,,,,,,,,,,,,,,,
tongue in a,,,,,,,,,,,,,,,,,,,,,,,,,
topless,,,,,,,,,,,,,,,,,,,,,,,,,
tosser,,,,,,,,,,,,,,,,,,,,,,,,,
towelhead,,,,,,,,,,,,,,,,,,,,,,,,,
tranny,,,,,,,,,,,,,,,,,,,,,,,,,
tribadism,,,,,,,,,,,,,,,,,,,,,,,,,
tub girl,,,,,,,,,,,,,,,,,,,,,,,,,
tubgirl,,,,,,,,,,,,,,,,,,,,,,,,,
tushy,,,,,,,,,,,,,,,,,,,,,,,,,
twat,,,,,,,,,,,,,,,,,,,,,,,,,
twink,,,,,,,,,,,,,,,,,,,,,,,,,
twinkie,,,,,,,,,,,,,,,,,,,,,,,,,
two girls one cup,,,,,,,,,,,,,,,,,,,,,,,,,
undressing,,,,,,,,,,,,,,,,,,,,,,,,,
upskirt,,,,,,,,,,,,,,,,,,,,,,,,,
urethra play,,,,,,,,,,,,,,,,,,,,,,,,,
urophilia,,,,,,,,,,,,,,,,,,,,,,,,,
vagina,,,,,,,,,,,,,,,,,,,,,,,,,
venus mound,,,,,,,,,,,,,,,,,,,,,,,,,
vibrator,,,,,,,,,,,,,,,,,,,,,,,,,
violet wand,,,,,,,,,,,,,,,,,,,,,,,,,
vorarephilia,,,,,,,,,,,,,,,,,,,,,,,,,
voyeur,,,,,,,,,,,,,,,,,,,,,,,,,
vulva,,,,,,,,,,,,,,,,,,,,,,,,,
wank,,,,,,,,,,,,,,,,,,,,,,,,,
wetback,,,,,,,,,,,,,,,,,,,,,,,,,
wet dream,,,,,,,,,,,,,,,,,,,,,,,,,
white power,,,,,,,,,,,,,,,,,,,,,,,,,
wrapping men,,,,,,,,,,,,,,,,,,,,,,,,,
wrinkled starfish,,,,,,,,,,,,,,,,,,,,,,,,,
xx,,,,,,,,,,,,,,,,,,,,,,,,,
xxx,,,,,,,,,,,,,,,,,,,,,,,,,
yaoi,,,,,,,,,,,,,,,,,,,,,,,,,
yellow showers,,,,,,,,,,,,,,,,,,,,,,,,,
yiffy,,,,,,,,,,,,,,,,,,,,,,,,,
zoophilia,,,,,,,,,,,,,,,,,,,,,,,,,
